Start clk       Shift Register              Result           Stop 
 0     0   0xxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxx   x
 1     1   0xxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxx   0
 1     0   100000000000000000000000 000000000000000000000000   0
 1     1   100000000000000000000000 000000000000000000000000   0
 1     0   100000000000000000000000 000000000000000000000000   0
 0     1   100000000000000000000000 000000000000000000000000   0
 0     0   010000000000000000000000 000000000000000000000000   0
 0     1   010000000000000000000000 000000000000000000000000   0
 0     0   001000000000000000000000 000000000000000000000000   0
 0     1   001000000000000000000000 000000000000000000000000   0
 0     0   000100000000000000000000 001000000000000000000000   0
 0     1   000100000000000000000000 001000000000000000000000   0
 0     0   000010000000000000000000 001000000000000000000000   0
 0     1   000010000000000000000000 001000000000000000000000   0
 0     0   000001000000000000000000 001010000000000000000000   0
 0     1   000001000000000000000000 001010000000000000000000   0
 0     0   000000100000000000000000 001011000000000000000000   0
 0     1   000000100000000000000000 001011000000000000000000   0
 0     0   000000010000000000000000 001011000000000000000000   0
 0     1   000000010000000000000000 001011000000000000000000   0
 0     0   000000001000000000000000 001011000000000000000000   0
 0     1   000000001000000000000000 001011000000000000000000   0
 0     0   000000000100000000000000 001011001000000000000000   0
 0     1   000000000100000000000000 001011001000000000000000   0
 0     0   000000000010000000000000 001011001000000000000000   0
 0     1   000000000010000000000000 001011001000000000000000   0
 0     0   000000000001000000000000 001011001010000000000000   0
 0     1   000000000001000000000000 001011001010000000000000   0
 0     0   000000000000100000000000 001011001011000000000000   0
 0     1   000000000000100000000000 001011001011000000000000   0
 0     0   000000000000010000000000 001011001011100000000000   0
 0     1   000000000000010000000000 001011001011100000000000   0
 0     0   000000000000001000000000 001011001011100000000000   0
 0     1   000000000000001000000000 001011001011100000000000   0
 0     0   000000000000000100000000 001011001011100000000000   0
 0     1   000000000000000100000000 001011001011100000000000   0
 0     0   000000000000000010000000 001011001011100100000000   0
 0     1   000000000000000010000000 001011001011100100000000   0
 0     0   000000000000000001000000 001011001011100110000000   0
 0     1   000000000000000001000000 001011001011100110000000   0
 0     0   000000000000000000100000 001011001011100111000000   0
 0     1   000000000000000000100000 001011001011100111000000   0
 0     0   000000000000000000010000 001011001011100111100000   0
 0     1   000000000000000000010000 001011001011100111100000   0
 0     0   000000000000000000001000 001011001011100111110000   0
 0     1   000000000000000000001000 001011001011100111110000   0
 0     0   000000000000000000000100 001011001011100111110000   0
 0     1   000000000000000000000100 001011001011100111110000   0
 0     0   000000000000000000000010 001011001011100111110100   0
 0     1   000000000000000000000010 001011001011100111110100   0
 0     0   000000000000000000000001 001011001011100111110100   0
 0     1   000000000000000000000000 001011001011100111110100   1
 0     0   000000000000000000000000 001011001011100111110100   1
 0     1   000000000000000000000000 001011001011100111110100   1
 0     0   000000000000000000000000 001011001011100111110100   1
 0     1   000000000000000000000000 001011001011100111110100   1
 0     0   000000000000000000000000 001011001011100111110100   1
 0     1   000000000000000000000000 001011001011100111110100   1
 0     0   000000000000000000000000 001011001011100111110100   1
 0     1   000000000000000000000000 001011001011100111110100   1
 0     0   000000000000000000000000 001011001011100111110100   1
 0     1   000000000000000000000000 001011001011100111110100   1
 0     0   000000000000000000000000 001011001011100111110100   1
 0     1   000000000000000000000000 001011001011100111110100   1
 0     0   000000000000000000000000 001011001011100111110100   1
 0     1   000000000000000000000000 001011001011100111110100   1
